# 4 digit prefix, Bank Name
5121,Sears National Bank
5215,Marine Midland 
5217,Manufacturers Hanover Trust
5233,Huntington Bank 
5242,Chevy Chase Federal Savings
5254,Bank of America
5263,Chemical Bank 
5273,Bank of America
5282,Wells Fargo
5286,Chase Lincoln First 
5317,Norwest 
5323,Bank of New York 
5329,Maryland Bank NA (MBNA) 
5398,Universal Bank, NA (AT&T)
5410,Citibank Preferred 
5411,1st Fin. bank of Omaha 
5414,Nat. Westminester Bank
5415,Colonial National Bank
5424,Citibank 
5432,Bank of New York
5455,PSFS
5465,Chase Manhattan 
5490,MBNA America Bank, N.A.
5678,Marine Midland
